Site,Sample_number,Location,Type,F_RS,IC_RS,IC_RF,AA_RS,AA_RF,VA_RS,VA_RF
So_RM,1,one,Dry,80,28.1,35.125,8.85,40.97,0.001,0.001
So_RM,2,one,Dry,60,10.8,18,10.05,93.06,0.001,0.001
So_RM,3,one,Dry,90,19.8,22,7.15,36.11,0.06,0.3
So_RM,4,one,Dry,70,23.6,33.71,19.05,80.72,9.8,41.53
So_RM,5,one,Dry,99,66.5,66.5,54.3,81.65,8.5,12.78
So_RM,6,one,Dry,50,4.6,9.2,0.3,6.52,0.001,0.001
So_RM,7,one,Dry,10,0.1,1,0.001,0.001,0.001,0.001
So_RM,8,one,Dry,90,31.1,34.56,9.8,31.51,4.25,13.67
So_RM,9,one,Dry,70,13.8,19.71,0.7,5.07,1.5,10.87
So_RM,10,one,Dry,70,7.3,10.43,1.9,26.03,0.05,0.68
So_RM,11,one,Dry,0.001,0.001,0.001,0.001,0.001,0.001,0.001
So_RM,12,one,Dry,99,42.1,42.1,9.15,21.73,2.9,6.9
So_RM,13,one,Dry,80,11.1,13.88,0.001,0.001,0.001,0.001
So_RM,14,one,Dry,0.001,0.001,0.001,0.001,0.001,0.001,0.001
So_RM,15,one,Dry,60,20.6,34.33,0.7,3.4,15.55,75.49
So_RM,16,one,Dry,40,17.1,42.75,1.7,9.94,7.3,42.69
So_RM,17,one,Dry,80,12.2,15.25,0.05,0.4,0.001,0.001
So_RM,18,one,Dry,30,0.7,2.33,0.001,0.001,0.05,7.14
So_RM,19,one,Dry,40,0.4,1,0.001,0.001,0.01,2.5
So_RM,20,one,Dry,90,8.3,9.22,1.85,22.29,0.6,7.23
So_BD,2,two,Dry,30,1.5,5,0.05,3.33,0.001,0.001
So_BD,3,two,Dry,37.5,7.63,20.33,2.25,29.5,0.001,0.001
So_BD,5,two,Dry,25,0.25,1,0.001,0.001,0.001,0.001
So_BD,6,two,Dry,37.5,9,24,0.88,9.72,0.001,0.001
So_BD,7,two,Dry,70,1.5,2.14,0.06,4,0.01,0.67
So_BD,8,two,Dry,90,11.6,12.89,1.55,13.36,0.4,3.45
So_BD,10,two,Dry,40,0.4,1,0.001,0.001,0.001,0.001
So_BD,11,two,Dry,87.5,29.88,34.14,9.95,33.31,2.94,9.83
So_BD,12,two,Dry,80,7.8,9.75,0.001,0.001,0.001,0.001
So_BD,13,two,Dry,90,11.2,12.44,0.6,5.36,1.5,13.4
So_BD,14,two,Dry,99,17.8,17.8,3.9,21.91,1.95,11.21
So_BD,15,two,Dry,22.22,0.67,3,0.06,8.33,0.001,0.001
So_BD,16,two,Dry,30,0.7,2.33,0.001,0.001,0.001,0.001
So_BD,17,two,Dry,10,0.1,1,0.001,0.001,0.001,0.001
So_BD,18,two,Dry,50,0.5,1,0.001,0.001,0.001,0.001
So_BD,19,two,Dry,30,3.2,10.67,0.001,0.001,0.001,0.001
So_BD,20,two,Dry,20,6,30,0.001,0.001,0.001,0.001
Se_RM,1,one,Flooded,40,0.4,1,0.01,2.5,0.05,12.5
Se_RM,2,one,Flooded,50,1.3,2.6,0.25,19.23,0.01,0.77
Se_RM,3,one,Flooded,10,0.1,1,0.001,0.001,0.001,0.001
Se_RM,4,one,Flooded,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Se_RM,5,one,Flooded,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Se_RM,6,one,Flooded,10,0.1,1,0.001,0.001,0.001,0.001
Se_RM,7,one,Flooded,40,0.8,2,0.001,0.001,0.001,0.001
